Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;05001_Medellín;Total;2.359.801;10.399;5.456;342.441;871.165;685.602;207.743;148.912;86.241;1.842
05_Antioquia;;Cabecera;2.320.248;9.717;5.031;336.331;842.479;682.898;207.260;148.698;86.054;1.780
05_Antioquia;;Centro poblado;19.989;122;220;1.747;16.401;1.284;168;20;6;21
05_Antioquia;;Rural disperso;19.564;560;205;4.363;12.285;1.420;315;194;181;41
05_Antioquia;05002_Abejorral;Total;17.573;130;487;8.091;8.405;433;4;3;0;20
05_Antioquia;;Cabecera;6.931;22;30;2.221;4.300;337;1;0;0;20
05_Antioquia;;Centro poblado;437;1;2;208;223;0;0;3;0;0
05_Antioquia;;Rural disperso;10.205;107;455;5.662;3.882;96;3;0;0;0
05_Antioquia;05004_Abriaquí;Total;2.141;108;12;681;1.197;132;1;6;4;0
05_Antioquia;;Cabecera;708;6;2;76;562;55;0;6;1;0
05_Antioquia;;Centro poblado;90;4;0;56;29;1;0;0;0;0
05_Antioquia;;Rural disperso;1.343;98;10;549;606;76;1;0;3;0
05_Antioquia;05021_Alejandría;Total;3.826;37;98;1.065;2.331;283;8;2;1;1
05_Antioquia;;Cabecera;2.202;10;13;261;1.651;264;3;0;0;0
05_Antioquia;;Rural disperso;1.624;27;85;804;680;19;5;2;1;1
05_Antioquia;05030_Amagá;Total;26.687;267;68;10.043;15.030;1.116;90;46;5;22
05_Antioquia;;Cabecera;12.938;35;16;1.625;10.546;689;15;6;0;6
05_Antioquia;;Centro poblado;8.089;138;27;4.176;3.660;70;8;0;0;10
05_Antioquia;;Rural disperso;5.660;94;25;4.242;824;357;67;40;5;6
05_Antioquia;05031_Amalfi;Total;20.141;1.533;189;8.077;6.432;3.828;48;12;13;9
05_Antioquia;;Cabecera;11.591;50;19;3.081;4.928;3.477;15;8;4;9
05_Antioquia;;Centro poblado;212;6;0;122;73;11;0;0;0;0
05_Antioquia;;Rural disperso;8.338;1.477;170;4.874;1.431;340;33;4;9;0
05_Antioquia;05034_Andes;Total;37.027;447;291;10.015;23.857;2.252;105;11;11;38
05_Antioquia;;Cabecera;18.099;32;168;6.167;9.930;1.698;64;10;7;23
05_Antioquia;;Centro poblado;3.428;12;85;841;2.422;58;0;0;0;10
05_Antioquia;;Rural disperso;15.500;403;38;3.007;11.505;496;41;1;4;5
05_Antioquia;05036_Angelópolis;Total;5.013;46;18;2.103;2.541;298;3;0;0;4
05_Antioquia;;Cabecera;1.962;11;0;352;1.342;256;1;0;0;0
05_Antioquia;;Centro poblado;976;11;0;408;540;17;0;0;0;0
05_Antioquia;;Rural disperso;2.075;24;18;1.343;659;25;2;0;0;4
05_Antioquia;05038_Angostura;Total;10.500;170;79;6.250;3.328;552;5;2;4;110
05_Antioquia;;Cabecera;2.369;8;5;641;1.243;434;1;2;0;35
05_Antioquia;;Centro poblado;393;0;15;29;292;57;0;0;0;0
05_Antioquia;;Rural disperso;7.738;162;59;5.580;1.793;61;4;0;4;75
05_Antioquia;05040_Anorí;Total;14.477;1.391;45;7.063;4.963;969;3;3;0;40
05_Antioquia;;Cabecera;7.031;247;17;1.853;3.964;911;2;3;0;34
05_Antioquia;;Centro poblado;596;8;4;577;7;0;0;0;0;0
05_Antioquia;;Rural disperso;6.850;1.136;24;4.633;992;58;1;0;0;6
05_Antioquia;05042_Santa Fé De Antioquia;Total;22.966;375;37;10.876;8.803;2.207;288;280;87;13
05_Antioquia;;Cabecera;15.278;153;25;4.892;7.839;2.038;218;100;5;8
05_Antioquia;;Centro poblado;698;22;1;572;100;3;0;0;0;0
05_Antioquia;;Rural disperso;6.990;200;11;5.412;864;166;70;180;82;5
05_Antioquia;05044_Anzá;Total;6.386;210;31;3.665;2.092;374;0;0;0;14
